metadata_index,composer,title,piece_id,performance_path,score_path,file_exists,file_size_bytes,tokenization_success,error_type,error_message,num_raw_notes,num_normalized_notes,num_tokens,num_raw_cc64_events,num_pedal_tokens,num_pedal_zero,num_pedal_full,num_pedal_intermediate,pedal_zero_ratio,pedal_full_ratio,pedal_intermediate_ratio,pedal1_intermediate_ratio,pedal2_intermediate_ratio,pedal3_intermediate_ratio,pedal4_intermediate_ratio,max_sequence_tokens,requires_4096_token_windowing
0,Bach,Fugue_bwv_846,piece_95144f66af25b32c,Bach/Fugue/bwv_846/Shi05M.mid,Bach/Fugue/bwv_846/midi_score.mid,True,13348,True,,,754,754,6032,2428,3016,752,609,1655,0.2493368700265252,0.20192307692307693,0.5487400530503979,0.5610079575596817,0.5517241379310345,0.5358090185676393,0.5464190981432361,6032,True
1,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Denisova06M.mid,Bach/Fugue/bwv_848/midi_score.mid,True,8817,True,,,1435,1435,11480,22,5740,5703,0,37,0.9935540069686412,0.0,0.006445993031358885,0.0062717770034843206,0.006968641114982578,0.0062717770034843206,0.0062717770034843206,11480,True
2,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Lee01M.mid,Bach/Fugue/bwv_848/midi_score.mid,True,11905,True,,,1438,1438,11504,697,5752,2572,87,3093,0.4471488178025035,0.015125173852573018,0.5377260083449235,0.5382475660639777,0.5368567454798331,0.53894297635605,0.5368567454798331,11504,True
3,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/LeeSH01M.mid,Bach/Fugue/bwv_848/midi_score.mid,True,13227,True,,,1429,1429,11432,748,5716,4999,274,443,0.8745626312106368,0.04793561931420574,0.07750174947515745,0.06997900629811056,0.07907627711686493,0.08537438768369489,0.07557732680195942,11432,True
4,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Lin04M.mid,Bach/Fugue/bwv_848/midi_score.mid,True,9424,True,,,1431,1431,11448,143,5724,5563,0,161,0.9718728162124388,0.0,0.028127183787561145,0.0286512928022362,0.027253668763102725,0.0286512928022362,0.027952480782669462,11448,True
5,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Lou01M.mid,Bach/Fugue/bwv_848/midi_score.mid,True,11484,True,,,1433,1433,11464,659,5732,2748,10,2974,0.479413817166783,0.0017445917655268667,0.5188415910676901,0.5184926727145848,0.5198883461270063,0.5191905094207956,0.5177948360083741,11464,True
6,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/MiyashitaM01M.mid,Bach/Fugue/bwv_848/midi_score.mid,True,10820,True,,,1438,1438,11504,485,5752,406,80,5266,0.07058414464534075,0.013908205841446454,0.9155076495132128,0.9172461752433936,0.9158553546592489,0.9144645340751043,0.9144645340751043,11504,True
7,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Mizumoto03M.mid,Bach/Fugue/bwv_848/midi_score.mid,True,9207,True,,,1440,1440,11520,124,5760,5653,19,88,0.9814236111111111,0.003298611111111111,0.015277777777777777,0.016666666666666666,0.016666666666666666,0.015277777777777777,0.0125,11520,True
8,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/SunY01M.mid,Bach/Fugue/bwv_848/midi_score.mid,True,11409,True,,,1431,1431,11448,689,5724,4219,155,1350,0.7370719776380154,0.027078965758211043,0.2358490566037736,0.23689727463312368,0.23340321453529,0.2348008385744235,0.23829489867225717,11448,True
9,Bach,Fugue_bwv_848,piece_03244c28858cefca,Bach/Fugue/bwv_848/Zhou01M.mid,Bach/Fugue/bwv_848/midi_score.mid,True,9029,True,,,1430,1430,11440,102,5720,5667,13,40,0.9907342657342657,0.0022727272727272726,0.006993006993006993,0.006993006993006993,0.008391608391608392,0.006993006993006993,0.005594405594405594,11440,True
10,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/LuA01M.mid,Bach/Fugue/bwv_854/midi_score.mid,True,4675,True,,,739,739,5912,34,2956,2954,0,2,0.9993234100135318,0.0,0.0006765899864682003,0.0,0.0013531799729364006,0.0013531799729364006,0.0,5912,True
11,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/MiyashitaM01M.mid,Bach/Fugue/bwv_854/midi_score.mid,True,5422,True,,,738,738,5904,254,2952,2726,2,224,0.9234417344173442,0.0006775067750677507,0.07588075880758807,0.07181571815718157,0.07723577235772358,0.07723577235772358,0.07723577235772358,5904,True
12,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/Ozaki01M.mid,Bach/Fugue/bwv_854/midi_score.mid,True,4973,True,,,734,734,5872,135,2936,2792,47,97,0.9509536784741145,0.01600817438692098,0.03303814713896458,0.02861035422343324,0.0340599455040872,0.035422343324250684,0.0340599455040872,5872,True
13,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/Richardson01M.mid,Bach/Fugue/bwv_854/midi_score.mid,True,4850,True,,,738,738,5904,86,2952,2855,24,73,0.967140921409214,0.008130081300813009,0.0247289972899729,0.02710027100271003,0.024390243902439025,0.023035230352303523,0.024390243902439025,5904,True
14,Bach,Fugue_bwv_854,piece_800604c74ef8b5c9,Bach/Fugue/bwv_854/WangA01M.mid,Bach/Fugue/bwv_854/midi_score.mid,True,4638,True,,,736,736,5888,17,2944,2929,0,15,0.9949048913043478,0.0,0.005095108695652174,0.005434782608695652,0.005434782608695652,0.004076086956521739,0.005434782608695652,5888,True
15,Bach,Fugue_bwv_856,piece_9c4cbf5a26ef339d,Bach/Fugue/bwv_856/LuoJ01M.mid,Bach/Fugue/bwv_856/midi_score.mid,True,4733,True,,,740,740,5920,28,2960,7,0,2953,0.002364864864864865,0.0,0.9976351351351351,0.9972972972972973,0.9972972972972973,0.9972972972972973,0.9986486486486487,5920,True
16,Bach,Fugue_bwv_857,piece_ab87564eee000628,Bach/Fugue/bwv_857/Bult-ItoS02M.mid,Bach/Fugue/bwv_857/midi_score.mid,True,27046,True,,,1400,1400,11200,5154,5600,445,279,4876,0.07946428571428571,0.04982142857142857,0.8707142857142857,0.8664285714285714,0.8757142857142857,0.8742857142857143,0.8664285714285714,11200,True
17,Bach,Fugue_bwv_857,piece_ab87564eee000628,Bach/Fugue/bwv_857/Lan01M.mid,Bach/Fugue/bwv_857/midi_score.mid,True,9247,True,,,1353,1353,10824,157,5412,25,0,5387,0.004619364375461937,0.0,0.995380635624538,0.9948263118994827,0.9955654101995566,0.9955654101995566,0.9955654101995566,10824,True
18,Bach,Fugue_bwv_857,piece_ab87564eee000628,Bach/Fugue/bwv_857/Lisiecki04M.mid,Bach/Fugue/bwv_857/midi_score.mid,True,11144,True,,,1345,1345,10760,107,5380,5294,0,86,0.9840148698884759,0.0,0.015985130111524165,0.016356877323420074,0.015613382899628252,0.015613382899628252,0.016356877323420074,10760,True
19,Bach,Fugue_bwv_857,piece_ab87564eee000628,Bach/Fugue/bwv_857/ToA01M.mid,Bach/Fugue/bwv_857/midi_score.mid,True,28824,True,,,1361,1361,10888,5690,5444,955,572,3917,0.1754224834680382,0.10506980161645849,0.7195077149155034,0.7413666421748715,0.7163850110213079,0.7068332108743571,0.7134459955914768,10888,True
20,Bach,Fugue_bwv_857,piece_ab87564eee000628,Bach/Fugue/bwv_857/WangA01M.mid,Bach/Fugue/bwv_857/midi_score.mid,True,18726,True,,,1340,1340,10720,2805,5360,2430,718,2212,0.4533582089552239,0.13395522388059702,0.4126865671641791,0.4305970149253731,0.4462686567164179,0.39477611940298507,0.37910447761194027,10720,True
21,Bach,Fugue_bwv_857,piece_ab87564eee000628,Bach/Fugue/bwv_857/YuP01M.mid,Bach/Fugue/bwv_857/midi_score.mid,True,16616,True,,,1358,1358,10864,2174,5432,3046,503,1883,0.5607511045655376,0.09259941089837997,0.34664948453608246,0.34536082474226804,0.3475699558173785,0.3490427098674521,0.3446244477172312,10864,True
22,Bach,Fugue_bwv_858,piece_8d6589d771d00836,Bach/Fugue/bwv_858/VuV01M.mid,Bach/Fugue/bwv_858/midi_score.mid,True,8039,True,,,875,875,7000,662,3500,3039,11,450,0.8682857142857143,0.003142857142857143,0.12857142857142856,0.12685714285714286,0.12457142857142857,0.13028571428571428,0.13257142857142856,7000,True
23,Bach,Fugue_bwv_858,piece_8d6589d771d00836,Bach/Fugue/bwv_858/Zhang01M.mid,Bach/Fugue/bwv_858/midi_score.mid,True,5660,True,,,888,888,7104,0,3552,3552,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7104,True
24,Bach,Fugue_bwv_860,piece_ab33880c0bc19a7a,Bach/Fugue/bwv_860/Ko04M.mid,Bach/Fugue/bwv_860/midi_score.mid,True,14797,True,,,1739,1739,13912,1089,6956,5856,126,974,0.8418631397354802,0.018113858539390456,0.14002300172512938,0.14146060954571593,0.14203565267395055,0.13916043703277745,0.1374353076480736,13912,True
25,Bach,Fugue_bwv_860,piece_ab33880c0bc19a7a,Bach/Fugue/bwv_860/Nikiforov05M.mid,Bach/Fugue/bwv_860/midi_score.mid,True,19780,True,,,1750,1750,14000,2319,7000,2264,0,4736,0.32342857142857145,0.0,0.6765714285714286,0.676,0.6765714285714286,0.6765714285714286,0.6771428571428572,14000,True
26,Bach,Fugue_bwv_860,piece_ab33880c0bc19a7a,Bach/Fugue/bwv_860/Tetzloff04M.mid,Bach/Fugue/bwv_860/midi_score.mid,True,17842,True,,,1766,1766,14128,1759,7064,4842,214,2008,0.6854473386183465,0.03029445073612684,0.2842582106455266,0.2814269535673839,0.28708946772366933,0.28312570781426954,0.2853907134767837,14128,True
27,Bach,Fugue_bwv_860,piece_ab33880c0bc19a7a,Bach/Fugue/bwv_860/TuanS01M.mid,Bach/Fugue/bwv_860/midi_score.mid,True,12049,True,,,1740,1740,13920,321,6960,6577,164,219,0.9449712643678161,0.023563218390804597,0.03146551724137931,0.035632183908045977,0.028735632183908046,0.027011494252873563,0.034482758620689655,13920,True
28,Bach,Fugue_bwv_860,piece_ab33880c0bc19a7a,Bach/Fugue/bwv_860/YoungS01M.mid,Bach/Fugue/bwv_860/midi_score.mid,True,12472,True,,,1762,1762,14096,456,7048,6533,39,476,0.9269296254256527,0.005533484676503973,0.06753688989784336,0.06867196367763904,0.06753688989784336,0.06753688989784336,0.06640181611804767,14096,True
29,Bach,Fugue_bwv_860,piece_ab33880c0bc19a7a,Bach/Fugue/bwv_860/ZhangH04M.mid,Bach/Fugue/bwv_860/midi_score.mid,True,10628,True,,,1744,1744,13952,0,6976,6976,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13952,True
30,Bach,Fugue_bwv_862,piece_8b760d5e59bd8897,Bach/Fugue/bwv_862/Song04M.mid,Bach/Fugue/bwv_862/midi_score.mid,True,18950,True,,,868,868,6944,2794,3472,458,0,3014,0.13191244239631336,0.0,0.8680875576036866,0.869815668202765,0.8456221198156681,0.8721198156682027,0.8847926267281107,6944,True
